"bark" "Alt" "CAP"
"225" 0.85 10 100.287508515781
"226" 2.25 20 574.947231919472
"227" 0.8 15 84.0537043204072
"228" 1.1 18 215.177483060242
"229" 0.95 20 114.909868912348
"230" 0.95 20 161.144379880544
"231" 1.05 25 161.144379880544
"232" 1.2 25 315.842984565866
"233" 1.3 15 86.659866513537
"234" 1.45 25 389.929610575144
"235" 1.1 15 183.346494441863
"236" 0.95 18 179.546670175544
"237" 1.95 20 471.814828795924
"238" 1 12 124.160749979565
"239" 1.4 16 296.107771622471
"240" 1.15 12 175.786634644998
"241" 1.7 15 258.547205052784
"242" 0.95 12 103.132403123548
"243" 1.45 11 286.478897565412
"244" 1.25 14 175.786634644998
"245" 1.95 15 198.943678864869
"246" 1.65 14 206.98100349101
"247" 2.35 15 296.107771622471
"248" 2.35 17 412.529612494193
"249" 0.85 15 84.0537043204072
"250" 1.25 17 286.478897565412
"251" 1.45 16 258.547205052784
"252" 2.4 12 315.842984565866
"253" 1 24 277.009178451444
"254" 1.9 10 154.061984912955
"255" 1.4 17 602.321882131278
"256" 2.7 15 574.947231919472
"257" 1.4 14 535.078918674952
"258" 1.35 25 616.247939651819
"259" 1.65 13 147.138744888457
"260" 1.2 15 219.335405948518
"261" 1.4 23 367.966228428462
"262" 0.8 17 143.736807979868
"263" 2.95 15 389.929610575144
"264" 1.35 13 100.287508515781
"265" 1.2 15 124.160749979565
"266" 0.9 25 130.526947703241
"267" 1.4 24 206.98100349101
"268" 1.8 24 496.64299991826
"269" 1.85 25 548.209201480034
"270" 1.6 20 183.346494441863
"271" 1.3 9 84.0537043204072
"272" 1.25 15 106.017086467089
"273" 1.9 18 561.498639228207
"274" 3.85 20 998.219803072368
"275" 2.55 22 588.554979553829
"276" 1.15 15 106.017086467089
"277" 0.85 15 100.287508515781
"278" 1.85 20 378.868342030257
"279" 1.35 25 336.214817281629
"280" 1.25 24 258.547205052784
"281" 1.35 24 236.364984859351
"282" 1.6 25 254.031183542552
"283" 1.2 23 263.10301529879
"284" 1.8 25 459.639475649394
"285" 0.8 15 84.0537043204072
"286" 1.85 25 395.519927951246
"287" 2.9 23 733.385977767454
"288" 2.5 22 305.895800622623
"289" 1.15 9 103.132403123548
"290" 1.6 23 389.929610575144
"291" 3.2 20 1145.91559026165
"292" 2.05 22 459.639475649394
"293" 1.5 23 215.177483060242
"294" 0.75 18 84.0537043204072
"295" 1.9 24 471.814828795924
"296" 3.45 24 496.64299991826
"297" 0.85 7 143.061195246443
"298" 1 6 184.877564994407
"299" 1.85 11 401.150034063122
"300" 1.1 8 117.953707198981
"301" 1.6 10 303.925462427145
"302" 2.8 9 325.949323452202
"303" 0.6 7 132.467842234246
"304" 1.2 9 206.170109055957
"305" 1.75 10 3311.69605585616
"306" 2.25 10 238.974330151343
"307" 1.55 6 279.83338291661
"308" 2 7 741.045309403751
"309" 2.2 11 2705.90141286662
"310" 1 8 89.8397822765131
"311" 0.95 7 85.6126269879923
"312" 0.9 6 81.4873308630504
"313" 0.9 8 110.122488224144
"314" 1.2 6 82.5091055977004
"315" 1.9 10 227.770617932389
"316" 0.65 6 137.052300370008
"317" 1.1 7 103.132403123548
"318" 1.75 8 181.061825233779
"319" 1.75 8 163.300133584724
"320" 2.9 8 310.849498226358
